group,crate,hit,result
safe,command1,False,PASS
safe,command2,False,PASS
safe,command3,False,PASS
safe,example1,False,PASS
safe,example2,False,PASS
safe,path_push,False,PASS
unsafe,command1,True,PASS
unsafe,command2,True,PASS
unsafe,command3,True,PASS
unsafe,command4,True,PASS
unsafe,command5,True,PASS
unsafe,command6,True,PASS
unsafe,env1,True,PASS
unsafe,example1,True,PASS
unsafe,io_read1,False,FAIL
unsafe,pathbuff1,True,PASS
unsafe,pathbuff2,True,PASS
unsafe,pathbuff3,True,PASS
unsafe,pathbuff4,True,PASS
