crate_name,version,result
Inflector,,failure
actix-codec,,success
actix-http,,success
actix-macros,,success
actix-router,,success
actix-rt,,success
actix-service,,success
actix-utils,,success
actix-web-codegen,,success
adler,,success
adler2,,success
adler32,,success
aead,,failure
aes,,failure
aes-gcm,,failure
ahash,,success
aho-corasick,,success
aliasable,,success
alloc-no-stdlib,,failure
alloc-stdlib,,success
allocator-api2,,success
android-tzdata,,success
android_logger,,success
android_system_properties,,success
anes,,failure
annotate-snippets,,success
ansi_term,,success
anstream,,success
anstyle,,success
anstyle-parse,,success
anstyle-wincon,,success
anyhow,,success
approx,,success
arbitrary,,success
arc-swap,,success
ark-ff-asm,,failure
ark-serialize,,failure
ark-std,,success
arrayref,,success
arrayvec,,success
arrow-array,,failure
arrow-cast,,failure
arrow-data,,failure
arrow-ipc,,failure
arrow-schema,,failure
arrow-select,,failure
asn1-rs,,success
asn1-rs-derive,,success
asn1-rs-impl,,success
assert-json-diff,,success
assert_cmd,,success
async-broadcast,,success
async-channel,,success
async-compression,,success
async-executor,,success
async-global-executor,,failure
async-io,,success
async-process,,success
async-recursion,,success
async-signal,,success
async-std,,success
async-stream,,success
async-stream-impl,,success
async-task,,success
async-trait,,success
atomic-waker,,success
atty,,success
auto_impl,,success
autocfg,,success
aws-config,,failure
aws-credential-types,,failure
aws-runtime,,failure
aws-sdk-s3,,failure
aws-sigv4,,failure
aws-smithy-async,,failure
aws-smithy-checksums,,failure
aws-smithy-eventstream,,failure
aws-smithy-http,,failure
aws-smithy-json,,failure
aws-smithy-query,,failure
aws-smithy-runtime,,failure
aws-smithy-runtime-api,,failure
aws-smithy-xml,,failure
aws-types,,failure
axum,,success
axum-core,,success
axum-macros,,success
backoff,,success
backtrace,,failure
base-x,,success
base64,,success
base64-simd,,success
bigdecimal,,success
bincode,,failure
bindgen,,success
bit-set,,success
bit-vec,,success
bitflags,,success
bitmaps,,success
bitvec,,success
blake2,,failure
blake2b_simd,,success
blake3,,failure
block-buffer,,failure
block-padding,,failure
blocking,,success
borsh,,success
borsh-derive,,success
brotli,,success
brotli-decompressor,,failure
bs58,,success
bstr,,success
bumpalo,,success
byte-slice-cast,,success
bytecheck,,success
bytecheck_derive,,success
bytecount,,success
bytemuck,,success
bytemuck_derive,,success
byteorder,,success
bytes,,success
bytes-utils,,success
bytesize,,success
bytestring,,success
bzip2,,success
bzip2-sys,,success
cadence,,success
cargo-platform,,failure
cargo_metadata,,success
cast,,success
castaway,,success
cbindgen,,success
cc,,success
cesu8,,success
cfg-expr,,failure
cfg_aliases,,success
chacha20,,failure
chacha20poly1305,,failure
chrono,,success
chrono-tz,,failure
chrono-tz-build,,failure
chunked_transfer,,success
ciborium,,success
ciborium-io,,success
ciborium-ll,,success
cipher,,failure
clang-sys,,failure
clap,,success
clap_builder,,success
clap_complete,,success
clap_derive,,success
clap_lex,,success
cmake,,success
codespan-reporting,,success
color-eyre,,success
color_quant,,success
colored,,success
combine,,success
comfy-table,,failure
concurrent-queue,,success
